Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Income Tax,26,2.0717,259,2.0859,2733,2.1968,27581,2.2182,
Reading Railroad,39,3.1076,360,2.8993,3537,2.8430,35343,2.8425,
Oriental Avenue,32,2.5498,288,2.3194,2702,2.1718,26890,2.1626,
Chance,30,2.3904,278,2.2389,2820,2.2667,27549,2.2156,
Vermont Avenue,23,1.8327,274,2.2067,2708,2.1767,27575,2.2177,
Connecticut Avenue,31,2.4701,292,2.3516,2762,2.2201,27629,2.2221,
Jail / Just Visiting,23,1.8327,262,2.1100,2673,2.1485,27047,2.1753,
St. Charles Place,26,2.0717,316,2.5449,3254,2.6155,32125,2.5836,
Electric Company,39,3.1076,317,2.5530,3202,2.5737,31662,2.5464,
States Avenue,34,2.7092,291,2.3436,2869,2.3061,28150,2.2640,
Virginia Avenue,33,2.6295,291,2.3436,2922,2.3487,29861,2.4016,
Pennsylvania Railroad,34,2.7092,341,2.7462,3420,2.7490,34538,2.7777,
St. James Place,31,2.4701,354,2.8509,3284,2.6396,33048,2.6579,
Community Chest,44,3.5060,353,2.8429,3508,2.8197,34518,2.7761,
Tennessee Avenue,26,2.0717,325,2.6174,3503,2.8157,35238,2.8340,
New York Avenue,40,3.1873,379,3.0523,3707,2.9796,36398,2.9273,
Free Parking,35,2.7888,357,2.8751,3568,2.8679,35310,2.8398,
Kentucky Avenue,31,2.4701,305,2.4563,3309,2.6597,33351,2.6822,
Chance,36,2.8685,342,2.7543,3464,2.7843,33983,2.7331,
