Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Atlantic Avenue,24,2.0426,304,2.5702,3035,2.5830,30218,2.5651,
Ventnor Avenue,29,2.4681,297,2.5110,3024,2.5736,30366,2.5777,
Water Works,26,2.2128,294,2.4856,3206,2.7285,31496,2.6736,
Marvin Gardens,37,3.1489,334,2.8238,2819,2.3991,28985,2.4605,
Go To Jail,39,3.3191,310,2.6209,3061,2.6051,29893,2.5375,
Pacific Avenue,26,2.2128,311,2.6294,2996,2.5498,30107,2.5557,
North Carolina Avenue,32,2.7234,292,2.4687,2893,2.4621,29636,2.5157,
Community Chest,30,2.5532,292,2.4687,3009,2.5609,30389,2.5796,
Pennsylvania Avenue,31,2.6383,269,2.2743,2826,2.4051,28355,2.4070,
Short Line,25,2.1277,268,2.2658,2726,2.3200,27595,2.3425,
Chance,22,1.8723,291,2.4603,2648,2.2536,25923,2.2005,
Park Place,26,2.2128,239,2.0206,2444,2.0800,24378,2.0694,
Luxury Tax,19,1.6170,244,2.0629,2360,2.0085,24910,2.1145,
Boardwalk,30,2.5532,291,2.4603,2970,2.5277,29634,2.5155,

Test # 9
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,31,2.6451,344,2.9130,3463,2.9409,35123,2.9798,
Mediterranean Avenue,25,2.1331,245,2.0747,2406,2.0432,24238,2.0563,
Community Chest,21,1.7918,244,2.0662,2449,2.0798,24538,2.0818,
Baltic Avenue,30,2.5597,248,2.1001,2383,2.0237,24201,2.0532,
Income Tax,28,2.3891,263,2.2271,2646,2.2471,26329,2.2337,
Reading Railroad,39,3.3276,327,2.7691,3402,2.8891,33502,2.8423,
Oriental Avenue,19,1.6212,270,2.2864,2580,2.1910,25690,2.1795,
Chance,22,1.8771,229,1.9392,2602,2.2097,26064,2.2112,
Vermont Avenue,30,2.5597,280,2.3711,2679,2.2751,26284,2.2299,
Connecticut Avenue,18,1.5358,249,2.1086,2579,2.1902,25950,2.2016,
Jail / Just Visiting,38,3.2423,281,2.3795,2512,2.1333,25428,2.1573,
St. Charles Place,17,1.4505,277,2.3457,3042,2.5834,30787,2.6119,
Electric Company,36,3.0717,329,2.7860,3100,2.6326,30894,2.6210,
States Avenue,23,1.9625,257,2.1763,2649,2.2496,26249,2.2269,
Virginia Avenue,30,2.5597,297,2.5150,2876,2.4424,28773,2.4411,
Pennsylvania Railroad,29,2.4744,338,2.8622,3085,2.6199,31908,2.7070,
St. James Place,32,2.7304,309,2.6166,3128,2.6564,31515,2.6737,
Community Chest,30,2.5597,300,2.5404,3213,2.7286,31848,2.7019,
Tennessee Avenue,36,3.0717,357,3.0231,3402,2.8891,33723,2.8610,
New York Avenue,43,3.6689,338,2.8622,3386,2.8755,33819,2.8692,
Free Parking,20,1.7065,309,2.6166,3371,2.8627,33651,2.8549,
Kentucky Avenue,39,3.3276,335,2.8368,3061,2.5995,31297,2.6552,
Chance,24,2.0478,345,2.9215,3344,2.8398,33331,2.8278,
